gene_id,median_tpm
ENSG00000183615,5.00447
ENSG00000182866,1.60667
ENSG00000277617,0.0
ENSG00000252450,0.0
ENSG00000116478,31.2741
ENSG00000175130,20.2156
ENSG00000233775,0.0435645
ENSG00000162526,5.20169
ENSG00000225828,7.9918
ENSG00000160058,33.6889
ENSG00000224333,0.0
ENSG00000270850,0.0
ENSG00000229259,0.0
ENSG00000263529,0.0
ENSG00000273274,0.00392925
ENSG00000160062,0.920837
ENSG00000176261,7.11959
ENSG00000200591,0.0
ENSG00000162521,12.5542
ENSG00000162520,0.126506
ENSG00000224409,0.0
ENSG00000162522,7.7856
ENSG00000134684,12.9909
ENSG00000116497,3.46464
ENSG00000160097,4.13719
ENSG00000121905,0.0585844
ENSG00000121900,5.65
ENSG00000116514,5.70082
ENSG00000278966,0.120389
ENSG00000217644,0.0
ENSG00000239670,0.0
ENSG00000004455,37.7737
ENSG00000276645,0.0
ENSG00000236065,0.0384455
ENSG00000142920,0.47919
ENSG00000278997,0.195432
ENSG00000116525,1.23806
ENSG00000279179,0.0964908
ENSG00000160094,5.95045
ENSG00000270115,0.162575
ENSG00000184389,0.0551014
ENSG00000225313,1.76792
